               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091872,            0.032363,            0.060153,           0.0020417,             0.41473,           0.0023304,          0.00061721,            0.060467,            0.018317,            0.043939,               0.082,               0.002,               0.002
                   1,            0.062036,            0.027161,             0.05087,           0.0033571,             0.78114,            0.056172,            0.024359,            0.040852,            0.013824,            0.040879,            0.062938,           0.0039376,           0.0039376
                   2,            0.058188,            0.025465,            0.051396,              0.3933,            0.099397,            0.042954,            0.019287,            0.042944,            0.012171,             0.03976,            0.043709,            0.005709,            0.005709
                   3,            0.051211,            0.021888,            0.047018,             0.60255,             0.16429,             0.10489,            0.053754,             0.04231,           0.0092063,            0.037481,            0.024314,            0.007314,            0.007314
                   4,            0.047371,            0.021194,            0.039452,             0.59328,             0.13261,            0.082001,            0.032703,            0.041481,           0.0092634,            0.038822,            0.008416,            0.008416,            0.008416
                   5,            0.043517,            0.020595,            0.045857,              0.6167,            0.091991,            0.088665,            0.034171,            0.033562,           0.0086847,            0.037405,            0.008416,            0.008416,            0.008416
                   6,            0.042722,            0.020626,            0.040934,             0.66092,             0.10574,            0.078343,            0.031762,            0.034015,           0.0089341,            0.033962,             0.00802,             0.00802,             0.00802
                   7,            0.043428,            0.020417,            0.038325,             0.45742,              0.1057,            0.081878,            0.031151,            0.036938,             0.00895,            0.035724,            0.007624,            0.007624,            0.007624
                   8,            0.046798,            0.019627,            0.038018,             0.51187,             0.16262,             0.12905,            0.059778,            0.032243,           0.0087111,            0.034403,            0.007228,            0.007228,            0.007228
                   9,            0.035224,            0.018235,             0.03169,             0.42731,              0.2116,             0.22386,             0.11386,            0.029146,           0.0074695,            0.031259,            0.006832,            0.006832,            0.006832
                  10,            0.043205,            0.018648,            0.036683,              0.3564,             0.17405,             0.19541,             0.10269,            0.027621,           0.0074811,            0.031751,            0.006436,            0.006436,            0.006436
                  11,            0.036747,            0.018581,            0.032562,             0.37255,             0.27002,             0.19351,            0.096526,            0.029026,           0.0074689,            0.028497,             0.00604,             0.00604,             0.00604
                  12,            0.036915,            0.017761,            0.030881,              0.3711,             0.36849,             0.26425,             0.14047,            0.028656,           0.0073394,            0.027893,            0.005644,            0.005644,            0.005644
                  13,            0.037091,            0.018202,            0.032309,             0.28242,             0.28023,             0.21386,             0.10504,            0.023967,           0.0091169,            0.028134,            0.005248,            0.005248,            0.005248
                  14,            0.034664,            0.018217,            0.028281,              0.2713,             0.35096,             0.23964,             0.12887,            0.025623,            0.008843,            0.025995,            0.004852,            0.004852,            0.004852
                  15,            0.038582,            0.017244,            0.028662,              0.3007,             0.32284,             0.28203,             0.15896,            0.023923,           0.0078817,            0.022454,            0.004456,            0.004456,            0.004456
                  16,            0.038608,            0.016287,            0.028082,             0.37917,             0.34966,             0.32629,             0.17325,            0.025711,           0.0077162,            0.023392,             0.00406,             0.00406,             0.00406
                  17,            0.034173,            0.017827,            0.027988,             0.33502,             0.37267,             0.34085,               0.192,            0.022955,           0.0072462,            0.022448,            0.003664,            0.003664,            0.003664
                  18,            0.035313,            0.016229,            0.028548,             0.66925,             0.32982,             0.37042,             0.19995,            0.022794,           0.0068422,            0.021487,            0.003268,            0.003268,            0.003268
                  19,            0.033072,            0.016887,            0.025228,             0.46809,             0.41223,             0.43159,             0.26017,            0.022372,           0.0067802,            0.021244,            0.002872,            0.002872,            0.002872
                  20,            0.031328,            0.015798,            0.025503,             0.49688,             0.45839,              0.4428,             0.25783,            0.022248,           0.0065318,            0.020001,            0.002476,            0.002476,            0.002476
                  21,            0.033869,            0.016232,            0.023569,             0.51524,             0.43188,             0.44502,             0.26506,            0.021886,           0.0065399,            0.018945,             0.00208,             0.00208,             0.00208
                  22,            0.029231,            0.016731,            0.020929,             0.52268,             0.44134,             0.44667,             0.27783,            0.019937,           0.0064151,            0.018145,            0.001684,            0.001684,            0.001684
                  23,            0.026888,            0.016321,            0.021882,             0.49443,              0.4917,             0.46818,             0.30143,            0.020195,           0.0062982,            0.018201,            0.001288,            0.001288,            0.001288
                  24,            0.032037,            0.015799,            0.021957,             0.50819,             0.53279,             0.46873,             0.30848,            0.019957,           0.0061812,             0.01836,            0.000892,            0.000892,            0.000892
